연도,월,품목명,품종명,평균가격,등급명,유통단계별무게,유통단계별단위
1996,1,쌀,일반계,37587.095,상품,20,kg
1996,1,찹쌀,일반계,2668.381,상품,1,kg
1996,1,콩,백태(국산),1552.524,상품,500,g
1996,1,콩,백태(국산),1435.714,중품,500,g
1996,1,팥,적두(국산),2316.048,상품,500,g
1996,1,팥,적두(국산),2149.143,중품,500,g
1996,1,녹두,국산,2962.619,상품,500,g
1996,1,녹두,국산,2773.238,중품,500,g
1996,1,고구마,밤,1547,상품,1,kg
1996,1,고구마,밤,1266.381,중품,1,kg
1996,1,감자,수미,160.381,상품,100,g
1996,1,감자,수미,135.333,중품,100,g
1996,1,배추,가을,1504.286,상품,1,포기
1996,1,배추,가을,1229.429,중품,1,포기
1996,1,양배추,양배추,1601.714,상품,1,포기
1996,1,양배추,양배추,1312.381,중품,1,포기
1996,1,시금치,시금치,2547.857,상품,1,kg
1996,1,시금치,시금치,2174.238,중품,1,kg
1996,1,상추,청,359.238,상품,100,g
1996,1,상추,청,313.19,중품,100,g
1996,1,오이,가시계통,4836.238,상품,10,개
1996,1,오이,가시계통,4186.905,중품,10,개
1996,1,오이,다다기계통,4785.714,상품,10,개
1996,1,오이,다다기계통,4214.286,중품,10,개
1996,1,호박,애호박,1095.81,상품,1,개
1996,1,호박,애호박,950.619,중품,1,개
1996,1,호박,쥬키니,729.714,상품,1,개
1996,1,호박,쥬키니,638.714,중품,1,개
1996,1,무,가을,978.476,상품,1,개
1996,1,무,가을,812.095,중품,1,개
1996,1,당근,무세척,1146.905,상품,1,kg
1996,1,당근,무세척,928.048,중품,1,kg
1996,1,건고추,화건,6206.619,상품,600,g
1996,1,건고추,화건,5706.571,중품,600,g
1996,1,건고추,양건,7144.143,상품,600,g
1996,1,건고추,양건,6659.143,중품,600,g
1996,1,풋고추,풋고추,545.429,상품,100,g
1996,1,풋고추,풋고추,493.571,중품,100,g
1996,1,양파,양파,595.952,상품,1,kg
1996,1,양파,양파,504.667,중품,1,kg
1996,1,파,대파,1168.524,상품,1,kg
1996,1,파,대파,983.952,중품,1,kg
1996,1,생강,국산,3187.095,상품,1,kg
1996,1,생강,국산,2701.238,중품,1,kg
1996,1,미나리,미나리,2168.762,상품,1,kg
1996,1,미나리,미나리,1903,중품,1,kg
1996,1,깐마늘(국산),깐마늘(국산),2923.667,상품,1,kg
1996,1,깐마늘(국산),깐마늘(국산),2476.476,중품,1,kg
1996,1,참깨,백색(국산),6307.571,상품,500,g
1996,1,참깨,백색(국산),5797.095,중품,500,g
1996,1,참깨,중국,3335.143,중품,500,g
1996,1,땅콩,국산,446.571,상품,100,g
1996,1,땅콩,국산,404.905,중품,100,g
1996,1,땅콩,수입,321.571,중품,100,g
1996,1,사과,후지,7638.143,상품,10,개
1996,1,배,신고,19549.667,상품,10,개
1996,1,감귤,감귤,2100.286,상품,10,개
1996,1,단감,단감,6695.381,상품,10,개
1996,1,바나나,수입,144.333,상품,100,g
1996,1,바나나,수입,121.286,중품,100,g
1996,1,돼지고기,삼겹살(국산냉장),476.095,중품,100,g
1996,1,닭고기,도계,2770.714,중품,1,kg
1996,1,계란,특란,2691.619,중품,30,개
1996,1,고등어,생선,1721.667,중품,1,마리
1996,1,고등어,냉동,1401.143,중품,1,마리
1996,1,갈치,생선,6307.571,중품,1,마리
1996,1,갈치,냉동,4599.429,중품,1,마리
1996,1,명태,생선,3791.667,중품,1,마리
1996,1,명태,냉동,1722,중품,1,마리
1996,1,물오징어,생선,1755.238,중품,1,마리
1996,1,물오징어,냉동,1402.905,중품,1,마리
1996,1,건멸치,건멸치,2073.667,중품,100,g
1996,1,건오징어,건오징어,8388.524,중품,10,마리
1996,1,김,김,3760.429,중품,1,속
1996,1,건미역,건미역,10176.476,상품,1,kg
1996,1,굴,굴,9432.905,상품,1,kg
1996,2,쌀,일반계,37838.474,상품,20,kg
1996,2,찹쌀,일반계,2727,상품,1,kg
1996,2,콩,백태(국산),1518.947,상품,500,g
1996,2,콩,백태(국산),1403,중품,500,g
1996,2,팥,적두(국산),2304.632,상품,500,g
1996,2,팥,적두(국산),2143.263,중품,500,g
1996,2,녹두,국산,3039.053,상품,500,g
1996,2,녹두,국산,2854.684,중품,500,g
1996,2,고구마,밤,1733,상품,1,kg
1996,2,고구마,밤,1453.632,중품,1,kg
1996,2,감자,수미,179.842,상품,100,g
1996,2,감자,수미,151.842,중품,100,g
1996,2,배추,가을,1617.158,상품,1,포기
1996,2,배추,가을,1360,중품,1,포기
1996,2,양배추,양배추,1622.684,상품,1,포기
1996,2,양배추,양배추,1345.526,중품,1,포기
1996,2,시금치,시금치,2666.947,상품,1,kg
1996,2,시금치,시금치,2286.158,중품,1,kg
1996,2,상추,청,270.053,상품,100,g
1996,2,상추,청,226.263,중품,100,g
1996,2,오이,가시계통,4552.789,상품,10,개
1996,2,오이,가시계통,3933.789,중품,10,개
1996,2,오이,다다기계통,4747.368,상품,10,개
1996,2,오이,다다기계통,4102.632,중품,10,개
1996,2,호박,애호박,1180.368,상품,1,개
1996,2,호박,애호박,1040.263,중품,1,개
1996,2,호박,쥬키니,731.842,상품,1,개
1996,2,호박,쥬키니,638.579,중품,1,개
1996,2,딸기,딸기,489.667,상품,100,g
1996,2,딸기,딸기,428.917,중품,100,g
1996,2,무,가을,1071.211,상품,1,개
1996,2,무,가을,888.632,중품,1,개
1996,2,당근,무세척,1191.895,상품,1,kg
1996,2,당근,무세척,971.211,중품,1,kg
1996,2,건고추,화건,6303.316,상품,600,g
1996,2,건고추,화건,5794.789,중품,600,g
1996,2,건고추,양건,7172,상품,600,g
1996,2,건고추,양건,6688.737,중품,600,g
1996,2,풋고추,풋고추,846.895,상품,100,g
1996,2,풋고추,풋고추,783.947,중품,100,g
1996,2,양파,양파,647.737,상품,1,kg
1996,2,양파,양파,548,중품,1,kg
1996,2,파,대파,1280.947,상품,1,kg
1996,2,파,대파,1099.632,중품,1,kg
1996,2,생강,국산,3187.842,상품,1,kg
1996,2,생강,국산,2712.842,중품,1,kg
1996,2,미나리,미나리,2305.053,상품,1,kg
1996,2,미나리,미나리,1987.632,중품,1,kg
1996,2,깐마늘(국산),깐마늘(국산),2854.105,상품,1,kg
1996,2,깐마늘(국산),깐마늘(국산),2452.316,중품,1,kg
1996,2,참깨,백색(국산),6337.316,상품,500,g
1996,2,참깨,백색(국산),5825.789,중품,500,g
1996,2,참깨,중국,3323.526,중품,500,g
1996,2,땅콩,국산,446.789,상품,100,g
1996,2,땅콩,국산,405.421,중품,100,g
1996,2,땅콩,수입,318.474,중품,100,g
1996,2,사과,후지,7774.526,상품,10,개
1996,2,배,신고,21126.316,상품,10,개
1996,2,감귤,감귤,2199.474,상품,10,개
1996,2,단감,단감,7012.105,상품,10,개
1996,2,바나나,수입,147.053,상품,100,g
1996,2,바나나,수입,124.158,중품,100,g
1996,2,돼지고기,삼겹살(국산냉장),472.211,중품,100,g
1996,2,닭고기,도계,3044.316,중품,1,kg
1996,2,계란,특란,2807.421,중품,30,개
1996,2,고등어,생선,1770,중품,1,마리
